identifier,route,viewport,system_layer,classification,description,evidence_reference,measured_value,expected_rule,severity,recommendation,status
NAV-01,all primary app routes,390/430,navigation,design-system-inconsistency,"Two mobile header architectures coexist. Standard routes render a two-row topbar (context+actions row, then a full-width search row); focus-canvas routes (chat/code/analyze/explore) render a single compact row with search hidden. The same product announces itself with two different header grammars.","evidence/header-comparison-390.json; screenshots/{home,chat}/390-viewport.jpg",topbar height: 107px (standard) vs 65px (focus-canvas) at 390px; search row display flex vs none,"R-NAV-1: one header architecture for all /app routes; single row <=64px below 768px; search lives in the row, not a second row",P1,Unify on the single-row compact header; move global search into the actions cluster (icon trigger) at <768px; adopt the focus-canvas header as the reference and delete the two-row variant.,confirmed
NAV-02,standard (non-focus-canvas) routes,390/430,navigation,design-system-inconsistency,"Fixed chrome consumes ~21% of the viewport at 390px (two-row topbar 107px + bottom bar 70px = 177px of 844px). No vertical budget was ever declared for mobile chrome, so navigation outbids content.",evidence/measurements aggregate.json -> verticalBudget.chromeRatio (12 routes at 21%),chromeRatio = 21% at 390 / 19% at 430; contentVisible = 667px of 844px,R-NAV-2: mobile chrome budget <=15% of viewport height at 390px (<=128px: 56px header + 64px tab bar + 8px offsets),P1,Declare the 390px vertical budget as a system contract (NAVIGATION-ARCHITECTURE.md table); compress header to one row; slim tab bar to 64px incl. safe-area handling.,confirmed
NAV-03,all primary app routes,390-1440,navigation,ux-problem,Page identity is announced twice: the topbar context label shows the active destination AND the page body renders its own h1 (e.g. 'الإعدادات' in both the header and the page). The duplicated title costs vertical space and dilutes hierarchy.,evidence/measurements chrome.contextRow.title vs geom.titles.h1 per route; screenshots/settings/390-viewport.jpg,topbar title text === page h1 text on all routes (e.g. 'الإعدادات' / 'الإعدادات'),"R-NAV-3: exactly one source of page identity per route; the header shows workspace context, the page owns the title",P2,Keep the topbar label as the persistent context cue but treat the page h1 as the single title block; never render both at the same visual weight; consider removing the header label once a route h1 is visible.,confirmed
NAV-04,all primary app routes,390/430,navigation,design-system-inconsistency,"Two bottom-navigation dialects: full-width glass bar (standard routes) vs floating rounded dock with glow indicator (focus-canvas routes). Different edge treatment, radius, shadow, and active indicator language.","evidence/header-comparison-390.json (bottomNavPos: 0px vs 16px); screenshots/{home,chat}/390-viewport.jpg",bottom nav: 70px full-width inset 0 (standard) vs 66px floating inset-inline 16px radius 16px (focus),"R-NAV-4: one dock grammar at <768px: floating dock, 16px inset, 64px height, one active-indicator treatment",P2,Adopt the floating dock as the single mobile nav; drop the full-width bar; keep safe-area reserve token.,confirmed
NAV-05,drawer (all routes),390,navigation,design-system-inconsistency,"Drawer information architecture is not encoded in visual weight: 19 destinations in 4 groups, but every link renders at identical size/height (15.36px / 44px). Group labels exist, yet 'الخدمات' items, advanced tools, and operations carry the same weight; the utility group ('مكتبتي / الإعدادات') is unlabelled.",evidence/drawer-390.json,"all 19 links: fontSize 15.36px, height 44px; group label font 10.5px; nav scrolls internally (scrollable=true)","R-NAV-5: three-tier weight system in the drawer: core services (primary weight), workspace/advanced (secondary), operations/administration (tertiary); utility group labelled 'مساحتي'",P2,"Introduce tiered link weights (size/leading/color steps via tokens), label the utility group, and give the primary tier a distinct register (see NAVIGATION-ARCHITECTURE.md drawer spec).",confirmed
NAV-06,all primary app routes,390-1440,navigation,ux-problem,"Search exists in three uncoordinated forms: the topbar global trigger (opens ⌘K palette), per-page library toolbars (local filtering), and workspace quick-search affordances. The scopes are not visually distinguished, so search reads as a repeated decorative element rather than a scoped function.",src/components/app-shell/app-shell.tsx (command palette trigger + minsaj:command-open event); src/components/domain/operations/shared.tsx (LibraryToolbar),3 search surfaces detected in code; toolbar search label 'ابحث في هذه المكتبة' vs global 'ابحث في منسج…',"R-NAV-6: search is scoped - global command palette (⌘K, icon in header) vs contextual in-page filter (inside the section it filters); a page carries an in-page search field only when it owns a filterable collection",P2,Differentiate the affordances: global = icon+kbd trigger; contextual = field inside the collection toolbar; document the scope rule; remove search fields from pages that do not filter a collection.,confirmed
NAV-07,standard (non-focus-canvas) routes,390,navigation,subjective-refinement,Translucent glass chrome (78% white + 20px blur) intentionally lets scrolled content show beneath the sticky header. The owner perceives 'text behind/under the header'. Not a clipping defect (anchor scroll-margin is correct); it is a transparency-level design decision awaiting an owner call.,"evidence/measurements chrome.topbar.background rgba(255,255,255,0.78); screenshots/home/390-scrolled600.jpg",topbar background alpha 0.78 (light) / 0.66 (dark); scroll-margin-block-start = topbar+20px on anchors,"R-NAV-7: chrome surfaces at >=0.92 opacity OR solid, with blur retained for the dock only",P3,"Present owner with A/B (0.78 glass vs 0.95 near-solid); default recommendation: raise topbar to 0.95 and keep the floating dock glassy (the dock reads as an object, the header as structure).",confirmed (perceptual; decision pending owner)
HIE-01,all primary app routes,390,hierarchy,design-system-inconsistency,"Page h1 sizes come from at least four per-family conventions, not one scale: home 37.05px, library 34px, chat 33.15px, ops pages 28px (x9 routes), domain workspaces 23px (x6 routes). The first thing a user reads changes weight from screen to screen.",evidence/measurements aggregate.json -> geom.titles.h1 per route at 390,h1 @390: 37.05 / 34 / 33.15 / 28 / 23 px (5 distinct values across 19 routes),"R-TYPE-1: one heading ramp; page h1 = 26px at 390 scaling to 34px at 1440 (token --mj-text-h1), no per-family overrides",P1,Map every route h1 onto the unified type ramp (DESIGN-TOKENS.md); delete per-family hero clamps from home/chat/library CSS.,confirmed
HIE-02,settings,390-1440,hierarchy,design-system-inconsistency,"The settings screen renders as a different product: sharp-cornered sections (12px radius only, 4 of 5 cards with no shadow) versus the app standard (16px radius, shadowed cards); section padding 19px and gaps 11-13px are off the token scale; a dashed upload box adds a utility aesthetic absent elsewhere.","evidence/measurements settings/390.json (radiusHistogram {12px:5}, shadowUsage {none:4,shadow:1}); globals.css:1523 .settings-section {padding:19px; border; background} (no radius); VLM perceptual settings390.json","settings: 1 radius value (12px), 80% shadowless cards; home: 16px radius dominant, 80% shadowed","R-SURF-1..3: settings rebuilt on mj-surface primitives (16px base radius, xs shadow, --mj-pad-card padding)",P1,Rebuild settings sections on mj-surface + mj-section; retire the settings-* parallel classes (see COMPONENT-INVENTORY.md migration table).,confirmed
HIE-03,"knowledge, projects, agents, flows, runs, team",390,hierarchy,ux-problem,"Homogeneous record collections render as stacks of equal cards; every record is a boxed container with header/body/footer, so lists compete with summary cards and the page reads as 'a stack of disconnected boxes' (perceptual pass).",VLM perceptual knowledge390full.json; evidence/measurements knowledge/390.json (9 card-like containers),9 card-like containers on one list page; identical card structure repeated per record,"R-PAT-1: list pattern for homogeneous records (divided rows, one container), cards reserved for summaries/summaries-of-one",P2,Introduce the mj-data-list row pattern (already exists in layout.css) as the default for ops record lists; keep cards for stats/summaries only.,confirmed
